日期,開市,最高,最低,關閉 ,調整後的收市價 ,成交量
2023年12月29日,"17,090.25","17,131.00","16,938.25","17,023.50","17,023.50","470,864"
2023年12月28日,"17,127.00","17,165.25","17,077.75","17,090.50","17,090.50","357,702"
2023年12月27日,"17,090.25","17,133.00","17,055.50","17,113.25","17,113.25","424,302"
2023年12月26日,"16,964.50","17,111.25","16,964.50","17,083.50","17,083.50","292,090"
2023年12月22日,"16,956.00","17,041.50","16,891.50","16,980.00","16,980.00","486,853"
2023年12月21日,"16,790.25","16,970.25","16,790.25","16,956.50","16,956.50","639,818"
2023年12月20日,"17,024.00","17,073.50","16,758.50","16,766.25","16,766.25","654,329"
2023年12月19日,"16,917.00","17,029.50","16,910.75","17,023.00","17,023.00","496,518"
2023年12月18日,"16,820.25","16,974.00","16,802.25","16,939.75","16,939.75","463,438"
2023年12月15日,"16,532.50","16,612.50","16,521.50","16,530.23","16,530.23","668,578"
2023年12月14日,"16,561.50","16,674.50","16,418.75","16,541.50","16,541.50","131,883"
2023年12月13日,"16,383.00","16,593.00","16,365.50","16,563.75","16,563.75","155,141"
2023年12月12日,"16,240.00","16,389.50","16,185.25","16,362.75","16,362.75","253,666"
2023年12月11日,"16,093.00","16,248.00","16,045.50","16,237.00","16,237.00","394,184"
2023年12月8日,"16,017.50","16,118.75","15,888.25","16,098.25","16,098.25","588,926"
2023年12月7日,"15,814.50","16,066.00","15,791.00","16,038.75","16,038.75","632,326"
2023年12月6日,"15,897.00","16,037.75","15,802.00","15,815.25","15,815.25","675,482"
2023年12月5日,"15,863.25","15,961.00","15,761.25","15,908.75","15,908.75","683,586"
2023年12月4日,"16,022.00","16,026.00","15,721.25","15,869.00","15,869.00","721,019"
2023年12月1日,"15,955.00","16,050.00","15,864.00","16,023.75","16,023.75","621,710"
2023年11月30日,"16,040.25","16,098.50","15,856.00","15,985.50","15,985.50","694,118"
2023年11月29日,"16,055.50","16,208.50","16,013.50","16,023.75","16,023.75","634,326"
2023年11月28日,"16,005.25","16,071.50","15,945.25","16,048.00","16,048.00","598,224"
2023年11月27日,"16,008.00","16,089.25","15,938.75","16,008.75","16,008.75","502,555"
2023年11月24日,"16,036.75","16,086.50","15,981.75","16,021.00","16,021.00","296,604"
2023年11月23日,"16,036.75","16,086.50","16,034.50","16,062.50","16,062.50","624,552"
2023年11月22日,"15,967.25","16,173.50","15,942.75","16,049.25","16,049.25","624,552"
2023年11月21日,"16,087.50","16,122.50","15,912.00","15,990.25","15,990.25","575,452"
2023年11月20日,"15,895.00","16,116.75","15,837.25","16,086.50","16,086.50","559,493"
2023年11月17日,"15,897.75","15,940.00","15,825.00","15,895.75","15,895.75","562,424"
2023年11月16日,"15,846.75","15,906.75","15,796.75","15,897.50","15,897.50","634,456"
2023年11月15日,"15,895.00","16,049.50","15,832.25","15,889.25","15,889.25","685,072"
2023年11月14日,"15,558.00","15,918.75","15,552.00","15,879.75","15,879.75","656,099"
2023年11月13日,"15,586.25","15,601.25","15,465.25","15,547.00","15,547.00","532,937"
2023年11月10日,"15,254.75","15,612.75","15,207.25","15,596.25","15,596.25","679,633"
2023年11月9日,"15,356.25","15,453.75","15,236.75","15,256.00","15,256.00","710,427"
2023年11月8日,"15,373.00","15,417.50","15,286.75","15,386.50","15,386.50","547,842"
2023年11月7日,"15,215.00","15,412.25","15,176.00","15,374.25","15,374.25","585,124"
2023年11月6日,"15,187.00","15,257.50","15,138.00","15,232.50","15,232.50","496,129"
2023年11月3日,"14,928.00","15,228.50","14,925.50","15,178.75","15,178.75","633,835"
2023年11月2日,"14,761.25","15,017.25","14,760.00","14,998.00","14,998.00","652,481"
2023年11月1日,"14,460.00","14,762.00","14,410.75","14,744.50","14,744.50","741,817"
2023年10月31日,"14,410.50","14,503.75","14,311.25","14,490.25","14,490.25","712,605"
2023年10月30日,"14,336.00","14,476.50","14,303.00","14,416.50","14,416.50","704,860"
2023年10月27日,"14,248.25","14,407.75","14,209.75","14,265.25","14,265.25","782,097"
2023年10月26日,"14,425.00","14,459.00","14,140.25","14,194.00","14,194.00","987,597"
2023年10月25日,"14,828.00","14,855.00","14,444.00","14,478.25","14,478.25","820,677"
2023年10月24日,"14,744.00","14,948.75","14,706.00","14,846.50","14,846.50","703,058"
2023年10月23日,"14,680.00","14,853.75","14,514.25","14,712.00","14,712.00","765,733"
2023年10月20日,"14,850.00","14,887.50","14,645.00","14,664.00","14,664.00","846,675"
2023年10月19日,"15,045.00","15,138.25","14,839.50","14,890.00","14,890.00","1,019,700"
2023年10月18日,"15,236.50","15,238.25","14,979.25","15,025.25","15,025.25","853,599"
2023年10月17日,"15,305.75","15,309.25","15,050.25","15,240.75","15,240.75","781,599"
2023年10月16日,"15,120.00","15,336.75","15,083.00","15,289.50","15,289.50","641,294"
2023年10月13日,"15,324.00","15,366.75","15,062.25","15,120.25","15,120.25","777,005"
2023年10月12日,"15,407.50","15,468.75","15,216.25","15,315.00","15,315.00","747,494"
2023年10月11日,"15,282.25","15,416.75","15,253.00","15,380.00","15,380.00","614,965"
2023年10月10日,"15,196.50","15,383.50","15,171.75","15,270.75","15,270.75","648,613"
2023年10月9日,"15,040.25","15,212.75","14,949.50","15,187.00","15,187.00","617,072"
2023年10月6日,"14,853.75","15,160.25","14,660.00","15,112.00","15,112.00","840,602"
2023年10月5日,"14,903.00","14,958.75","14,716.25","14,861.75","14,861.75","676,461"
2023年10月4日,"14,713.75","14,956.00","14,589.00","14,923.75","14,923.75","803,257"
2023年10月3日,"14,989.50","15,031.00","14,651.50","14,714.50","14,714.50","762,964"
2023年10月2日,"14,965.00","15,046.00","14,826.00","14,984.75","14,984.75","762,896"
2023年9月29日,"14,876.50","15,060.75","14,811.00","14,866.50","14,866.50","745,541"
2023年9月28日,"14,772.50","14,947.50","14,658.00","14,859.75","14,859.75","734,472"
2023年9月27日,"14,725.25","14,821.50","14,586.00","14,739.00","14,739.00","716,200"
2023年9月26日,"14,949.00","14,949.00","14,666.25","14,715.00","14,715.00","667,617"
2023年9月25日,"14,880.25","14,955.75","14,782.25","14,935.25","14,935.25","568,859"
2023年9月22日,"14,854.50","15,027.50","14,836.25","14,869.50","14,869.50","624,056"
