Date,Open,High,Low,Close,Adj Close,Volume
2024/12/31,21390.25,21524.75,21182,21226.5,21226.5,477280
2024/12/30,21711,21742.75,21253,21416.25,21416.25,530975
2024/12/27,21990.75,22008,21498.75,21698.5,21698.5,572604
2024/12/26,22049.5,22111.25,21870.25,22008,22008,407116
2024/12/24,21743.25,22049.75,21709,22028.5,22028.5,261201
2024/12/23,21566,21776.75,21476.75,21753.25,21753.25,508598
2024/12/20,21151.5,21151.5,20745,20947.98,20947.98,864714
2024/12/19,21218.5,21424.25,21080,21112.75,21112.75,124728
2024/12/18,22010,22083.75,21034.25,21218.75,21218.75,209588
2024/12/17,22115,22124.5,21942.25,22014.75,22014.75,277298
2024/12/16,21780.25,22152.5,21762,22110.25,22110.25,482433
2024/12/13,21720.75,21908,21666.5,21795.75,21795.75,639403
2024/12/12,21756.75,21772.5,21604.25,21651.25,21651.25,510307
2024/12/11,21436,21820,21405.75,21793.5,21793.5,547213
2024/12/10,21479.25,21606.75,21352.75,21405.25,21405.25,544406
2024/12/9,21649,21706.25,21436,21483.75,21483.75,517123
2024/12/6,21450,21669.25,21424.75,21656.75,21656.75,459878
2024/12/5,21513.25,21567.25,21437.5,21473.25,21473.25,421035
2024/12/4,21323,21548.5,21305.75,21536.5,21536.5,461922
2024/12/3,21220,21329,21134.25,21281.5,21281.5,444143
2024/12/2,20995.25,21259.75,20940,21218,21218,475464
2024/11/29,20813,21017.5,20805.5,20993.5,20993.5,339955
2024/11/27,20990.75,21019,20675,20813,20813,520026
2024/11/26,20906.25,21024.75,20755,20993.5,20993.5,505254
2024/11/25,20935,21081,20780.25,20880.25,20880.25,544568
2024/11/22,20794,20880,20693.25,20849.75,20849.75,541554
2024/11/21,20738,20905.75,20514.25,20829.5,20829.5,698342
2024/11/20,20762.25,20843.25,20477,20749,20749,619493
2024/11/19,20633.25,20792.5,20382.5,20767.75,20767.75,553617
2024/11/18,20504,20724.25,20476,20633.5,20633.5,525474
2024/11/15,20977.5,20981.5,20405.25,20493.75,20493.75,691851
2024/11/14,21167,21190.25,20950.5,21011.75,21011.75,561950
2024/11/13,21178,21268.5,21056.5,21159.5,21159.5,533739
2024/11/12,21221,21251.75,21054.75,21189.5,21189.5,511372
2024/11/11,21249.75,21340.75,21098.25,21217.75,21217.75,456006
2024/11/8,21224.25,21265,21121.75,21231.25,21231.25,401943
2024/11/7,20923.5,21253,20861.5,21224.75,21224.75,462805
2024/11/6,20360.5,20935.25,20323.5,20894,20894,632408
2024/11/5,20130.75,20385.5,20041.75,20341.75,20341.75,450115
2024/11/4,20138,20248.5,20013,20086,20086,520521
2024/11/1,20071,20288,20017,20153.25,20153.25,554025
2024/10/31,20482,20495.75,20008.5,20021.75,20021.75,686677
2024/10/30,20734,20788.5,20472.5,20534.75,20534.75,519409
2024/10/29,20513,20760.25,20432.25,20696.5,20696.5,498020
2024/10/28,20525.5,20676.5,20486,20497,20497,430120
2024/10/25,20388.5,20707.25,20364,20498.75,20498.75,585929
2024/10/24,20294.25,20428.5,20261.75,20380.25,20380.25,462552
2024/10/23,20521,20542.5,20079,20220.5,20220.5,619162
2024/10/22,20536.5,20602.25,20360.25,20542,20542,476324
2024/10/21,20496.25,20554.5,20343.75,20519.5,20519.5,456078
2024/10/18,20384,20529.75,20320.75,20483.5,20483.5,385566
2024/10/17,20328,20594.75,20276.75,20368,20368,535486
2024/10/16,20334.5,20398.5,20206.25,20349.5,20349.5,417571
2024/10/15,20638.75,20659.25,20254,20342,20342,522391
2024/10/14,20432.5,20680,20383.25,20619.25,20619.25,395756
