日期,開市,最高,最低,關閉 ,調整後的收市價 ,成交量
2025年8月8日,"23,518.20","23,767.80","23,503.00","23,713.75","23,713.75","447,831"
2025年8月7日,"23,418.50","23,671.00","23,329.00","23,496.25","23,496.25","561,716"
2025年8月6日,"23,091.75","23,445.25","23,045.50","23,422.75","23,422.75","527,514"
2025年8月5日,"23,354.00","23,404.25","23,084.50","23,132.00","23,132.00","542,676"
2025年8月4日,"22,850.00","23,352.50","22,821.75","23,296.50","23,296.50","472,671"
2025年8月1日,"23,308.50","23,347.50","22,775.00","22,883.75","22,883.75","803,558"
2025年7月31日,"23,705.00","23,845.00","23,290.50","23,365.00","23,365.00","739,642"
2025年7月30日,"23,452.00","23,689.00","23,356.50","23,480.50","23,480.50","538,732"
2025年7月29日,"23,504.25","23,652.50","23,421.25","23,452.00","23,452.00","538,169"
2025年7月28日,"23,520.00","23,585.25","23,436.75","23,491.25","23,491.25","424,393"
2025年7月25日,"23,391.50","23,476.00","23,330.75","23,421.25","23,421.25","395,469"
2025年7月24日,"23,402.25","23,424.50","23,298.25","23,377.50","23,377.50","435,559"
2025年7月23日,"23,191.25","23,418.00","23,146.75","23,310.75","23,310.75","512,963"
2025年7月22日,"23,339.50","23,367.00","23,108.00","23,226.25","23,226.25","537,829"
2025年7月21日,"23,232.50","23,424.75","23,203.75","23,342.00","23,342.00","398,833"
2025年7月18日,"23,261.25","23,320.75","23,169.50","23,224.25","23,224.25","450,704"
2025年7月17日,"23,065.50","23,279.75","23,017.00","23,251.00","23,251.00","445,290"
2025年7月16日,"23,018.75","23,100.00","22,835.50","23,076.50","23,076.50","548,602"
2025年7月15日,"23,034.25","23,222.75","22,996.00","23,056.75","23,056.75","524,056"
2025年7月14日,"22,860.75","23,066.50","22,803.00","23,035.50","23,035.50","414,465"
2025年7月11日,"23,011.75","23,048.75","22,831.50","22,959.00","22,959.00","461,057"
2025年7月10日,"23,041.00","23,090.00","22,901.25","23,013.25","23,013.25","391,782"
2025年7月9日,"22,906.50","23,112.00","22,843.50","23,052.75","23,052.75","450,523"
2025年7月8日,"22,837.75","22,972.75","22,808.50","22,896.75","22,896.75","420,913"
2025年7月7日,"22,970.00","23,028.50","22,779.75","22,884.75","22,884.75","537,930"
2025年7月4日,"23,059.25","23,062.50","22,882.00","22,906.75","22,906.75",-
2025年7月3日,"22,845.00","23,102.50","22,827.00","23,062.50","23,062.50",-
2025年7月2日,"22,694.50","22,858.75","22,582.00","22,843.00","22,843.00","408,882"
2025年7月1日,"22,867.50","22,914.75","22,594.50","22,692.75","22,692.75","495,079"
2025年6月30日,"22,751.50","22,934.75","22,751.50","22,893.25","22,893.25","434,250"
2025年6月27日,"22,676.25","22,825.50","22,600.00","22,751.50","22,751.50","487,835"
2025年6月26日,"22,461.25","22,694.00","22,437.75","22,669.25","22,669.25","422,397"
2025年6月25日,"22,412.00","22,548.25","22,384.50","22,461.00","22,461.00","397,611"
2025年6月24日,"22,079.00","22,448.25","22,065.75","22,412.75","22,412.75","447,975"
2025年6月23日,"21,648.25","22,093.00","21,566.75","22,073.50","22,073.50","549,766"
2025年6月20日,"21,731.00","21,896.50","21,435.50","21,889.89","21,889.89","649,884"
2025年6月18日,"21,705.00","21,872.50","21,640.50","21,720.25","21,720.25",-
2025年6月17日,"21,950.00","21,952.00","21,685.00","21,730.50","21,730.50","173,026"
2025年6月16日,"21,554.00","21,999.50","21,501.75","21,941.50","21,941.50","336,301"
2025年6月13日,"21,909.00","21,915.75","21,471.00","21,644.25","21,644.25","556,189"
2025年6月12日,"21,871.00","21,977.25","21,713.25","21,932.50","21,932.50","397,839"
2025年6月11日,"21,945.75","22,106.00","21,790.75","21,887.50","21,887.50","523,556"
2025年6月10日,"21,824.00","21,992.25","21,732.00","21,962.50","21,962.50","439,539"
2025年6月9日,"21,799.25","21,890.75","21,716.00","21,821.50","21,821.50","354,827"
2025年6月6日,"21,471.00","21,873.50","21,471.00","21,789.50","21,789.50","466,591"
2025年6月5日,"21,744.75","21,935.00","21,503.50","21,582.25","21,582.25",-
2025年6月4日,"21,688.25","21,803.00","21,641.00","21,766.50","21,766.50","403,012"
2025年6月3日,"21,555.00","21,759.75","21,399.25","21,706.00","21,706.00","427,859"
2025年6月2日,"21,303.75","21,576.25","21,163.00","21,534.50","21,534.50","434,593"
2025年5月30日,"21,371.25","21,433.50","21,071.50","21,376.75","21,376.75","551,092"
