Date,Open,High,Low,Close,Adj Close,Volume,10MA,20MA,50MA,200MA,BB(Up),BB(Mid),BB(Down),RSI(9),RSI (14),"MACD(12,26,9) (MACD Line)","MACD(12,26,9) (Signal Line)","MACD(12,26,9) (Histogram)",ATR
2023-01-03,11122.5,11182.0,10844.75,10945.5,10945.5,657681,11052.18,11329.74,11444.33,12297.86,11986.83,11329.74,10672.65,37.62,40.09,-177.86,-128.63,-49.22,294.49
2023-01-04,10941.25,11068.5,10863.5,10999.25,10999.25,758003,11032.78,11289.41,11437.15,12282.38,11922.04,11289.41,10656.79,40.65,41.8,-174.54,-137.82,-36.73,288.1
2023-01-05,10988.5,11046.75,10805.0,10820.25,10820.25,694452,10997.22,11252.13,11423.98,12264.63,11903.73,11252.13,10600.52,34.39,37.91,-184.23,-147.1,-37.13,284.78
2023-01-06,10838.75,11165.75,10751.0,11113.5,11113.5,736332,10975.12,11232.33,11411.98,12246.92,11875.01,11232.33,10589.64,48.89,46.65,-166.33,-150.95,-15.39,294.07
2023-01-09,11126.5,11385.5,11120.25,11185.5,11185.5,646318,10988.25,11209.33,11406.77,12230.62,11821.97,11209.33,10596.68,51.83,48.57,-144.67,-149.69,5.02,292.49
2023-01-10,11184.75,11288.75,11094.0,11282.0,11282.0,559281,11008.92,11194.94,11407.7,12213.21,11785.05,11194.94,10604.83,55.68,51.1,-118.35,-143.42,25.07,285.51
2023-01-11,11282.5,11479.5,11239.75,11476.5,11476.5,500153,11065.02,11183.18,11405.49,12196.81,11738.25,11183.18,10628.11,62.47,55.82,-80.87,-130.91,50.04,282.24
2023-01-12,11474.5,11579.75,11291.0,11534.25,11534.25,754571,11141.18,11167.9,11407.23,12179.56,11660.16,11167.9,10675.65,64.3,57.15,-45.97,-113.92,67.95,282.71
2023-01-13,11528.5,11619.5,11389.0,11608.0,11608.0,482002,11198.7,11160.76,11412.75,12161.41,11620.5,11160.76,10701.03,66.63,58.84,-12.22,-93.58,81.36,278.98
2023-01-17,11613.5,11685.0,11510.25,11624.5,11624.5,576141,11258.92,11174.63,11426.35,12144.17,11673.13,11174.63,10676.13,67.17,59.23,15.67,-71.73,87.4,271.53
2023-01-18,11619.75,11759.5,11468.0,11475.75,11475.75,619614,11311.95,11182.06,11441.31,12127.21,11694.38,11182.06,10669.75,57.7,54.26,25.48,-52.29,77.77,272.96
2023-01-19,11470.5,11487.0,11308.5,11356.5,11356.5,594769,11347.68,11190.22,11450.63,12109.67,11708.46,11190.22,10671.99,51.18,50.59,23.37,-37.16,60.53,266.21
2023-01-20,11401.0,11686.75,11365.25,11677.0,11677.0,577769,11433.35,11215.29,11463.89,12092.23,11777.21,11215.29,10653.36,63.6,58.68,47.01,-20.33,67.33,270.79
2023-01-23,11676.75,11983.0,11650.5,11934.0,11934.0,593978,11515.4,11245.26,11480.68,12077.76,11891.59,11245.26,10598.94,70.4,63.79,85.5,0.84,84.66,275.19
2023-01-24,11933.0,12010.5,11835.75,11909.5,11909.5,511370,11587.8,11288.02,11502.26,12064.79,11991.76,11288.02,10584.29,69.02,62.99,112.72,23.22,89.51,268.02
2023-01-25,11970.5,11976.5,11604.5,11873.25,11873.25,633473,11646.92,11327.92,11507.08,12051.47,12070.29,11327.92,10585.56,66.83,61.76,129.88,44.55,85.33,275.45
2023-01-26,11874.75,12113.0,11867.25,12106.75,12106.75,621434,11709.95,11387.49,11512.25,12040.37,12179.99,11387.49,10594.99,73.02,66.34,160.47,67.73,92.73,273.33
2023-01-27,12049.0,12308.5,12016.0,12222.25,12222.25,588072,11778.75,11459.96,11522.0,12031.48,12280.38,11459.96,10639.54,75.56,68.35,191.82,92.55,99.27,274.7
2023-01-30,12212.5,12252.0,11960.0,11968.0,11968.0,634667,11814.75,11506.72,11523.28,12021.6,12331.22,11506.72,10682.23,61.29,59.85,193.91,112.82,81.09,275.93
2023-01-31,11984.0,12156.0,11871.0,12152.0,12152.0,585202,11867.5,11563.21,11531.53,12011.25,12402.62,11563.21,10723.81,66.45,63.4,208.02,131.86,76.16,276.58
2023-02-01,12116.0,12524.5,12055.25,12414.25,12414.25,668515,11961.35,11636.65,11545.6,12003.85,12505.01,11636.65,10768.29,72.35,67.77,237.62,153.01,84.61,290.34
2023-02-02,12520.0,12949.75,12501.75,12846.75,12846.75,817822,12110.38,11729.02,11568.38,11998.55,12699.01,11729.02,10759.04,79.16,73.41,292.61,180.93,111.68,307.85
2023-02-03,12748.25,12878.0,12551.25,12624.0,12624.0,824209,12205.08,11819.21,11589.1,11990.58,12768.62,11819.21,10869.81,69.28,66.92,314.58,207.66,106.92,309.2
2023-02-06,12572.0,12608.5,12455.75,12515.5,12515.5,535147,12263.22,11889.31,11604.32,11983.13,12826.28,11889.31,10952.35,64.84,63.95,319.56,230.04,89.52,299.13
2023-02-07,12513.0,12818.5,12459.25,12776.75,12776.75,744996,12349.95,11968.88,11622.6,11978.38,12924.26,11968.88,11013.49,70.04,67.67,340.66,252.17,88.5,303.43
2023-02-08,12747.0,12808.5,12512.75,12545.25,12545.25,590355,12417.15,12032.04,11637.85,11974.34,12962.94,12032.04,11101.14,61.04,61.6,334.84,268.7,66.14,302.88
2023-02-09,12555.0,12728.5,12366.5,12425.5,12425.5,612404,12449.02,12079.49,11654.03,11968.78,12987.63,12079.49,11171.35,56.8,58.67,316.92,278.34,38.57,307.1
2023-02-10,12448.75,12451.5,12243.25,12346.25,12346.25,600244,12461.42,12120.09,11670.46,11965.44,12997.68,12120.09,11242.49,54.0,56.75,292.94,281.26,11.67,300.04
2023-02-13,12357.5,12567.0,12265.25,12540.5,12540.5,467840,12518.68,12166.71,11680.43,11963.09,13028.7,12166.71,11304.73,59.5,60.19,286.31,282.27,4.04,300.16
2023-02-14,12547.25,12687.0,12390.5,12631.0,12631.0,719204,12566.58,12217.04,11691.79,11958.97,13063.11,12217.04,11370.96,61.89,61.72,285.07,282.83,2.24,299.9
2023-02-15,12620.75,12756.5,12524.25,12730.0,12730.0,568579,12598.15,12279.75,11706.19,11958.36,13079.12,12279.75,11480.38,64.46,63.38,288.75,284.01,4.73,295.07
2023-02-16,12740.0,12792.75,12455.25,12482.5,12482.5,682325,12561.72,12336.05,11719.72,11955.41,13010.48,12336.05,11661.62,54.16,56.76,268.6,280.93,-12.33,298.1
2023-02-17,12462.5,12466.25,12265.75,12390.0,12390.0,629355,12538.32,12371.7,11736.2,11951.92,12970.59,12371.7,11772.81,50.75,54.47,242.37,273.22,-30.85,292.29
2023-02-21,12380.0,12417.75,12090.25,12096.75,12096.75,609494,12496.45,12379.84,11747.95,11944.75,12957.75,12379.84,11801.93,41.44,47.88,195.66,257.71,-62.04,294.8
2023-02-22,12108.0,12190.5,12034.0,12097.5,12097.5,640711,12428.52,12389.24,11756.99,11940.95,12940.43,12389.24,11838.04,41.47,47.9,156.9,237.55,-80.64,284.93
2023-02-23,12176.25,12261.0,12028.5,12207.5,12207.5,640962,12394.75,12405.95,11769.74,11938.51,12909.48,12405.95,11902.42,46.16,50.5,133.52,216.74,-83.22,281.18
2023-02-24,12190.0,12214.5,11923.0,11997.0,11997.0,643618,12351.9,12400.46,11775.45,11937.52,12919.86,12400.46,11881.06,39.37,45.78,96.89,192.77,-95.88,281.92
2023-02-27,12003.0,12189.5,11990.0,12083.25,12083.25,578952,12325.6,12393.51,11780.32,11936.2,12926.5,12393.51,11860.53,43.22,47.93,73.96,169.01,-95.05,276.03
2023-02-28,12093.5,12172.75,12025.75,12072.25,12072.25,646026,12278.78,12398.72,11786.75,11936.71,12915.99,12398.72,11881.46,42.83,47.67,54.28,146.06,-91.78,266.81
2023-03-01,12041.25,12141.75,11924.75,11961.75,11961.75,759645,12211.85,12389.21,11799.04,11936.78,12931.96,12389.21,11846.47,38.87,45.04,29.43,122.74,-93.31,263.26
2023-03-02,11967.0,12096.25,11832.5,12062.0,12062.0,752009,12145.05,12371.6,11813.74,11935.18,12933.45,12371.6,11809.75,44.14,47.85,17.62,101.71,-84.09,263.29
2023-03-03,12049.0,12329.0,12012.0,12311.25,12311.25,675472,12127.92,12344.82,11836.1,11935.51,12860.47,12344.82,11829.18,55.0,54.14,28.05,86.98,-58.93,267.13
2023-03-06,12306.25,12486.25,12276.25,12323.5,12323.5,612506,12121.28,12329.8,11859.05,11934.33,12828.43,12329.8,11831.17,55.48,54.43,36.88,76.96,-40.08,263.05
2023-03-07,12320.25,12381.25,12142.25,12169.0,12169.0,685006,12128.5,12312.48,11875.74,11935.49,12808.0,12312.48,11816.95,48.21,50.12,31.05,67.78,-36.73,261.33
2023-03-08,12170.0,12254.5,12108.25,12228.25,12228.25,633419,12141.58,12285.05,11899.22,11937.24,12730.58,12285.05,11839.52,50.98,51.7,30.86,60.39,-29.54,253.11
2023-03-09,12231.0,12353.5,11977.5,12007.25,12007.25,816838,12121.55,12258.15,11917.86,11938.08,12702.49,12258.15,11813.81,41.63,45.85,12.72,50.86,-38.14,261.89
2023-03-10,12005.0,12109.0,11795.0,11840.25,11840.25,871209,12105.88,12228.89,11936.36,11937.1,12702.92,12228.89,11754.86,36.01,41.99,-14.95,37.7,-52.65,265.61
2023-03-13,11894.75,12095.75,11674.25,11931.75,11931.75,694438,12090.72,12208.16,11959.54,11937.9,12696.62,12208.16,11719.71,40.92,44.74,-29.16,24.32,-53.49,276.75
2023-03-14,11960.0,12223.0,11921.75,12207.0,12207.0,364395,12104.2,12191.49,11983.02,11939.23,12654.27,12191.49,11728.71,53.11,52.09,-18.01,15.86,-33.87,278.5
2023-03-15,12200.75,12280.0,11972.0,12247.75,12247.75,261341,12132.8,12172.32,12007.53,11939.07,12587.8,12172.32,11756.85,54.67,53.08,-5.81,11.52,-17.34,280.6
2023-03-16,12264.5,12600.5,12189.25,12583.0,12583.0,181754,12184.9,12164.98,12040.28,11938.6,12542.36,12164.98,11787.59,65.32,60.37,30.55,15.33,15.22,289.93
2023-03-17,12575.75,12636.5,12531.75,12594.65,12594.65,734052,12213.24,12170.58,12072.19,11938.34,12570.49,12170.58,11770.67,65.64,60.6,59.62,24.19,35.44,276.71
